practice.jpg,panicked,jealous,arrogant,hateful
1.jpg,playful,comforting,irritated,bored
2.jpg,upset,terrified,arrogant,annoyed
3.jpg,desire,joking,flustered,convinced
4.jpg,insisting,joking,amused,relaxed
5.jpg,worried,irritated,sarcastic,friendly
6.jpg,fantasizing,aghast,impatient,alarmed
7.jpg,uneasy,apologetic,friendly,dispirited
8.jpg,despondent,relieved,shy,excited
9.jpg,preoccupied,annoyed,hostile,horrified
10.jpg,cautious,insisting,bored,aghast
11.jpg,regretful,flirtatious,terrified,amused
12.jpg,skeptical,indifferent,embarrassed,dispirited
13.jpg,anticipating,decisive,threatening,shy
14.jpg,accusing,irritated,disappointed,depressed	
15.jpg,contemplative,flustered,encouraging,amused
16.jpg,thoughtful,irritated,encouraging,sympathetic
17.jpg,doubtful,affectionate,playful,aghast
18.jpg,decisive,amused,aghast,bored
19.jpg,tentative,arrogant,grateful,sarcastic
20.jpg,friendly,dominant,guilty,horrified
21.jpg,fantasizing,embarrassed,confused,panicked
22.jpg,preoccupied,grateful,insisting,imploring
23.jpg,defiant,contented,apologetic,curious
24.jpg,pensive,irritated,excited,hostile
